PRUExtra Premier CoPay (S$),,,,
(Inclusive of 7% GST),,,,
For Singapore Citizens / Singapore Permanent Residents / Foreigners,,,,
who are dependants of Singapore Citizens or Singapore Permanent Residents 1,,,,
Age Next,Annual,,Monthly1,
For Foreigners with Eligible Valid Pass,,
,Annual,
Age Next Birthday,With 20% PruWell Reward*,Standard Level Premium
1,595.20,744
2,595.20,744
3,588.80,736
4,588.80,736
5,569.60,712
6,551.20,689
7,532.80,666
8,512.80,641
9,494.40,618
10,475.20,594
11,452.80,566
12,456.00,570
13,456.80,571
14,456.80,571
15,456.80,571
16,460.00,575
17,460.00,575
18,460.00,575
19,460.00,575
20,460.00,575
21,507.20,634
22,508.00,635
23,509.60,637
24,509.60,637
25,509.60,637

,Annual,
Age Next Birthday,With 20% PruWell Reward*,Standard Level Premium
26,509.60,637
27,517.60,647
28,525.60,657
29,532.80,666
30,540.00,675
31,570.40,713
32,579.20,724
33,586.40,733
34,595.20,744
35,602.40,753
36,611.20,764
37,618.40,773
38,626.40,783
39,634.40,793
40,643.20,804
41,847.20,1059
42,858.40,1073
43,942.40,1178
44,969.60,1212
45,969.60,1212
46,969.60,1212
47,969.60,1212
48,969.60,1212
49,969.60,1212
50,969.60,1212
51,1270.40,1588
52,1278.40,1598
53,1306.40,1633

,Annual,
Age Next Birthday,With 20% PruWell Reward*,Standard Level Premium
54,1404.00,1755
55,1440.00,1800
562,1744.00,2180
572,1756.80,2196
582,1761.60,2202
592,1942.40,2428
602,2016.00,2520
612,2474.40,3093
622,2516.80,3146
632,2700.00,3375
642,2811.20,3514
652,2811.20,3514
662,3428.00,4285
672,3659.20,4574
682,3892.00,4865
692,3920.80,4901
702,3949.60,4937
712,4308.80,5386
722,4340.00,5425
732,4520.00,5650
742,4741.60,5927
752,4939.20,6174
762,5144.00,6430
772,5344.00,6680
782,5543.20,6929
792,5740.80,7176
802,5926.40,7408
812,6114.40,7643

,Annual,
Age Next Birthday,With 20% PruWell Reward*,Standard Level Premium
822,6300.00,7875
832,6352.00,7940
842,6404.00,8005
852,6641.60,8302
862,6880.00,8600
872,7117.60,8897
882,7292.00,9115
892,7465.60,9332
902,7524.00,9405
912,7583.20,9479
922,7640.80,9551
932,7756.00,9695
942,7871.20,9839
952,7949.60,9937
962,8028.00,10035
972,8108.00,10135
982,8228.00,10285
992,8344.00,10430
100 2,8462.40,10578
>100 2,8462.40,10578

PRUExtra Premier Lite CoPay (S$),,
(Inclusive of 7% GST),,
For Singapore Citizens / Singapore Permanent Residents,,
Age Next Birthday,Annual,Monthly
1,239,20.32
2,239,20.32
3,239,20.32
4,239,20.32
5,239,20.32
6,240,20.4
7,240,20.4
8,240,20.4
9,240,20.4
10,240,20.4
11,240,20.4
12,240,20.4
13,241,20.49
14,241,20.49
15,241,20.49
16,241,20.49
17,242,20.57
18,242,20.57
19,242,20.57
20,243,20.66
21,243,20.66
22,243,20.66
23,245,20.83
24,245,20.83
25,245,20.83

Age Next Birthday,Annual,Monthly
26,247,21
27,247,21
28,247,21
29,249,21.17
30,249,21.17
31,251,21.34
32,252,21.42
33,254,21.59
34,263,22.36
35,270,22.95
36,279,23.72
37,292,24.82
38,303,25.76
39,308,26.18
40,314,26.69
41,335,28.48
42,347,29.5
43,359,30.52
44,365,31.03
45,381,32.39
46,401,34.09
47,401,34.09
48,401,34.09
49,401,34.09
50,401,34.09
51,473,40.21
52,541,45.99
53,567,48.2

Age Next Birthday,Annual,Monthly
54,569,48.37
55,574,48.79
56,642,54.57
57,666,56.61
58,693,58.91
59,698,59.33
60,701,59.59
61,847,72
62,900,76.5
63,951,80.84
64,963,81.86
65,963,81.86
66,"1,192",101.32
67,"1,272",108.12
68,"1,352",114.92
69,"1,364",115.94
70,"1,368",116.28
71,"1,767",150.2
72,"1,789",152.07
73,"1,789",152.07
74,"2,027",172.3
75,"2,052",174.42
76 3,"2,225",189.13
773,"2,324",197.54
783,"2,352",199.92
793,"2,601",221.09
803,"2,633",223.81
813,"2,831",240.64

Age Next Birthday,Annual,Monthly
823,"2,946",250.41
833,"2,981",253.39
843,"3,093",262.91
853,"3,131",266.14
863,"3,323",282.46
873,"3,438",292.23
883,"3,480",295.8
893,"3,605",306.43
903,"3,634",308.89
913,"3,663",311.36
923,"3,690",313.65
933,"3,735",317.48
943,"3,800",323
953,"3,839",326.32
963,"3,876",329.46
973,"3,915",332.78
983,"3,962",336.77
993,"4,050",344.25
1003,"4,078",346.63
>1003,"4,078",346.63

PRUExtra Plus CoPay (S$),,
(Inclusive of 7% GST),,
For Singapore Citizens / Singapore Permanent Residents /,,
Foreigners who are dependants of Singapore Citizens or Singapore Permanent Residents,,
Age Next Birthday,Annual,Monthly1
1 – 5,220,18.70
6 – 20,220,18.70
21 – 30,225,19.13
31 – 40,246,20.91
41 – 50,307,26.10
51 – 55,441,37.49
56 – 602,590,50.15
61 – 652,816,69.36
66 – 702,1064,90.44
71 – 732,1368,116.28
74 – 752,1585,134.73
"76 – 782,3",1778,151.13
"79 – 802,3",1900,161.50
"81 – 832,3",2019,171.62
"84 – 852,3",2099,178.42
"86 – 882,3",2314,196.69
"89 – 902,3",2382,202.47
"91 – 932,3",2454,208.59
"94 – 952,3",2528,214.88
"96 – 982,3",2603,221.26
"99 – 1002,3",2680,227.80
"Above1002,3",2680,227.80

PRUExtra Plus CoPay (S$),,
(Inclusive of 7% GST),,
For Foreigners with Eligible Valid Pass,,
Age Next Birthday,Annual,Monthly1
1 – 5,232,19.72
6 – 20,232,19.72
21 – 30,237,20.15
31 – 40,259,22.02
41 – 50,324,27.54
51 – 55,464,39.44
56 – 602,620,52.70
61 – 652,857,72.85
66 – 702,1118,95.03
71 – 732,1437,122.15
74 – 752,1665,141.53
"76 – 782,3",1867,158.70
"79 – 802,3",1996,169.66
"81 – 832,3",2121,180.29
"84 – 852,3",2205,187.43
"86 – 882,3",2430,206.55
"89 – 902,3",2502,212.67
"91 – 932,3",2577,219.05
"94 – 952,3",2655,225.68
"96 – 982,3",2734,232.39
"99 – 1002,3",2814,239.19
"Above1002,3",2814,239.19

Footnotes:,
1,"For the Life Assured who is a foreigner, monthly payment mode for PRUextra is only available if the main PRUshield"
,plan is paid using the policyowner’s Medisave account.
2,Maximum entry age is 55 age next birthday for the Life Assured who is a foreigner.
,Premiums shown are for renewal only.
3,Maximum entry age is 75 age next birthday for the Life Assured who is a Singapore Citizen/Permanent Resident.
,Premiums shown are for renewal only.
"* You will enjoy PRUwell Reward, a 20% savings on your standard premium when your policy is incepted with no exclusions.",
"Going forward, if your premium level is at standard at the last policy renewal date and you did not make any claims from a",
"private or restructured hospital or medical institution during the review period before the next policy renewal date, we will",
give you PRUwell Reward of 20% savings on your standard premium amount at your next policy renewal date.,
